country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","26-04-2024 14:00:00",16.5150833,80.5181667,NH3,3,4,4
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","26-04-2024 14:00:00",16.5150833,80.5181667,CO,2,34,11
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","26-04-2024 14:00:00",14.675886,77.593027,NO2,12,13,12
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","26-04-2024 14:00:00",14.675886,77.593027,CO,24,40,35
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","26-04-2024 14:00:00",14.675886,77.593027,OZONE,15,60,29
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","26-04-2024 14:00:00",14.465052,78.824187,PM10,NA,NA,NA
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","26-04-2024 14:00:00",14.465052,78.824187,CO,10,16,14
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","26-04-2024 14:00:00",14.465052,78.824187,OZONE,84,95,86
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","26-04-2024 14:00:00",16.9872867,81.7363176,PM10,18,63,43
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","26-04-2024 14:00:00",16.9872867,81.7363176,NO2,5,118,34
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","26-04-2024 14:00:00",16.9872867,81.7363176,CO,6,50,22
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","26-04-2024 14:00:00",13.67,79.35,OZONE,35,83,61
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","26-04-2024 14:00:00",13.615387,79.409230,NH3,NA,NA,NA
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","26-04-2024 14:00:00",13.615387,79.409230,OZONE,2,53,18
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","26-04-2024 14:00:00",16.536107,80.594233,OZONE,14,65,36
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","26-04-2024 14:00:00",16.486692,80.699436,NH3,1,1,1
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","26-04-2024 14:00:00",16.509717,80.612222,PM2.5,35,88,59
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","26-04-2024 14:00:00",16.509717,80.612222,NH3,1,3,2
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","26-04-2024 14:00:00",16.509717,80.612222,SO2,5,9,6
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","26-04-2024 14:00:00",16.509717,80.612222,CO,33,42,41
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","26-04-2024 14:00:00",16.509717,80.612222,OZONE,5,74,36
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","26-04-2024 14:00:00",16.554731,80.649110,PM2.5,43,46,44
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","26-04-2024 14:00:00",16.554731,80.649110,CO,40,40,40
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","26-04-2024 14:00:00",17.72,83.3,NO2,41,62,52
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","26-04-2024 14:00:00",17.72,83.3,SO2,10,17,14
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","26-04-2024 14:00:00",27.103358,93.679645,PM10,NA,NA,NA
India,Assam,Guwahati,"IITG, Guwahati - PCBA","26-04-2024 14:00:00",26.2028636,91.70046436,PM2.5,30,132,72
India,Assam,Guwahati,"IITG, Guwahati - PCBA","26-04-2024 14:00:00",26.2028636,91.70046436,PM10,49,448,170
India,Assam,Guwahati,"IITG, Guwahati - PCBA","26-04-2024 14:00:00",26.2028636,91.70046436,NH3,5,5,5
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","26-04-2024 14:00:00",26.187500,91.744194,PM10,33,410,137
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","26-04-2024 14:00:00",26.181742,91.78063,CO,12,65,16
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","26-04-2024 14:00:00",26.349082,92.68449,OZONE,54,107,86
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","26-04-2024 14:00:00",26.446912,91.439057,PM10,42,209,119
India,Assam,Silchar,"Tarapur, Silchar - PCBA","26-04-2024 14:00:00",24.82827,92.79525,NH3,1,1,1
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","26-04-2024 14:00:00",25.5626095,84.663264,NH3,2,5,3
